county,constituency,ward
Baringo,AINABKOI,AINABKOI/OLARE
Baringo,BARINGO  NORTH,KABARTONJO
Baringo,BARINGO  NORTH,SAIMO/KIPSARAMAN
Baringo,BARINGO CENTRAL,KABARNET
Baringo,BARINGO CENTRAL,KAPROPITA
Baringo,BARINGO SOUTH,MARIGAT
Baringo,BARINGO SOUTH,MOCHONGOI
Baringo,ELDAMA RAVINE,KOIBATEK
Baringo,ELDAMA RAVINE,RAVINE
Baringo,MOGOTIO,EMINING
Baringo,MOGOTIO,MOGOTIO
Baringo,TIATY,CHURO/AMAYA
Baringo,TIATY,RIBKWO
Baringo,TIATY,TANGULBEI/KOROSSI
Bomet,BOMET CENTRAL,MUTARAKWA
Bomet,BOMET CENTRAL,SILIBWET TOWNSHIP
Bomet,BOMET CENTRAL,SINGORWET
Bomet,BOMET EAST,KEMBU
Bomet,BOMET EAST,KIPRERES
Bomet,BOMET EAST,LONGISA
Bomet,BOMET EAST,MERIGI
Bomet,CHEPALUNGU,CHEBUNYO
Bomet,CHEPALUNGU,KONG'ASIS
Bomet,CHEPALUNGU,NYANGORES
Bomet,CHEPALUNGU,SIGOR
Bomet,CHEPALUNGU,SIONGIROI
Bomet,KONOIN,BOITO
Bomet,KONOIN,KIMULOT
Bomet,KONOIN,MOGOGOSIEK
Bomet,SOTIK,CHEMAGEL
Bomet,SOTIK,KIPSONOI
Bomet,SOTIK,NDANAI/ABOSI
Bomet,SOTIK,RONGENA/MANARET
Bungoma,BUMULA,KABULA
Bungoma,BUMULA,KIMAETI
Bungoma,BUMULA,SIBOTI
Bungoma,BUMULA,WEST BUKUSU
Bungoma,KABUCHAI,KABUCHAI/CHWELE
Bungoma,KABUCHAI,MUKUYUNI
Bungoma,KABUCHAI,WEST NALONDO
Bungoma,KANDUYI,BUKEMBE EAST
Bungoma,KANDUYI,BUKEMBE WEST
Bungoma,KANDUYI,EAST SANG'ALO
Bungoma,KANDUYI,KHALABA
Bungoma,KANDUYI,MARAKARU/TUUTI
Bungoma,KANDUYI,MUSIKOMA
Bungoma,KANDUYI,TOWNSHIP
Bungoma,KIMILILI,KAMUKUYWA
Bungoma,KIMILILI,KIMILILI
Bungoma,MT. ELGON,CHEPTAIS
Bungoma,MT. ELGON,ELGON
Bungoma,MT. ELGON,KAPKATENY
Bungoma,MT. ELGON,KAPTAMA
Bungoma,SIRISIA,LWANDANYI
Bungoma,SIRISIA,MALAKISI/SOUTH KULISIRU
Bungoma,TESO NORTH,MALABA CENTRAL
Bungoma,TONGAREN,MILIMA
Bungoma,TONGAREN,NAITIRI/KABUYEFWE
Bungoma,TONGAREN,NDALU/ TABANI
Bungoma,TONGAREN,SOYSAMBU/ MITUA
Bungoma,TONGAREN,TONGAREN
Bungoma,WEBUYE EAST,MARAKA
Bungoma,WEBUYE EAST,MIHUU
Bungoma,WEBUYE EAST,NDIVISI
Bungoma,WEBUYE WEST,BOKOLI
Bungoma,WEBUYE WEST,MATULO
Bungoma,WEBUYE WEST,MISIKHU
Busia,BUDALANGI,BUNYALA CENTRAL
Busia,BUDALANGI,BUNYALA NORTH
Busia,BUDALANGI,BUNYALA WEST
Busia,BUTULA,KINGANDOLE
Busia,BUTULA,MARACHI CENTRAL
Busia,BUTULA,MARACHI EAST
Busia,BUTULA,MARACHI NORTH
Busia,BUTULA,MARACHI WEST
Busia,EMBAKASI WEST,UMOJA I
Busia,FUNYULA,BWIRI
Busia,FUNYULA,NAMBOBOTO NAMBUKU
Busia,FUNYULA,NANGINA
Busia,KANDUYI,TOWNSHIP
Busia,KARACHUONYO,WANGCHIENG
Busia,KIMILILI,KIMILILI
Busia,LURAMBI,SHEYWE
Busia,MATAYOS,BUKHAYO WEST
Busia,MATAYOS,BURUMBA
Busia,MATAYOS,BUSIBWABO
Busia,MATAYOS,MATAYOS SOUTH
Busia,MATAYOS,MAYENJE
Busia,NAMBALE,BUKHAYO EAST
Busia,NAMBALE,NAMBALE TOWNSHIP
Busia,TESO NORTH,MALABA CENTRAL
Busia,TESO NORTH,MALABA NORTH
Busia,TESO NORTH,MALABA SOUTH
Busia,TESO SOUTH,AMUKURA CENTRAL
Busia,TESO SOUTH,AMUKURA EAST
Busia,TESO SOUTH,ANG'OROM
Busia,TESO SOUTH,CHAKOL NORTH
Busia,TESO SOUTH,CHAKOL SOUTH
Elgeyo Marakwet,KEIYO NORTH,KAMARINY
Elgeyo Marakwet,KEIYO NORTH,KAPCHEMUTWA
Elgeyo Marakwet,KEIYO NORTH,TAMBACH
Elgeyo Marakwet,KEIYO SOUTH,CHEPKORIO
Elgeyo Marakwet,KEIYO SOUTH,KABIEMIT
Elgeyo Marakwet,KEIYO SOUTH,KAPTARAKWA
Elgeyo Marakwet,LIKUYANI,SINOKO
Elgeyo Marakwet,MARAKWET EAST,ENDO
Elgeyo Marakwet,MARAKWET EAST,KAPYEGO
Elgeyo Marakwet,MARAKWET WEST,KAPSOWAR
Elgeyo Marakwet,MARAKWET WEST,SENGWER
Elgeyo Marakwet,TURBO,HURUMA
Embu,EMBAKASI EAST,UTAWALA
Embu,GICHUGU,KABARE
Embu,GITHUNGURI,GITHUNGURI
Embu,KIRINYAGA CENTRAL,KERUGOYA
Embu,MANYATTA,GATURI SOUTH
Embu,MANYATTA,KIRIMARI
Embu,MANYATTA,KITHIMU
Embu,MANYATTA,MBETI NORTH
Embu,MANYATTA,NGINDA
Embu,MANYATTA,RUGURU/NGANDORI
Embu,MBEERE NORTH,EVURORE
Embu,MBEERE NORTH,NTHAWA
Embu,MBEERE SOUTH,KIAMBERE
Embu,MBEERE SOUTH,MAVURIA
Embu,MBEERE SOUTH,MBETI SOUTH
Embu,MBEERE SOUTH,MWEA
Embu,NYERI TOWN,KAMAKWA/MUKARO
Embu,RUNYENJES,CENTRAL  WARD
Embu,RUNYENJES,GATURI NORTH
Embu,RUNYENJES,KAGAARI NORTH
Embu,RUNYENJES,KAGAARI SOUTH
Embu,RUNYENJES,KYENI NORTH
Embu,RUNYENJES,KYENI SOUTH
Embu,SOUTH IMENTI,NKUENE
Garissa,DADAAB,DADAAB
Garissa,GARISSA TOWNSHIP,GALBET
Garissa,GARISSA TOWNSHIP,IFTIN
Garissa,GARISSA TOWNSHIP,TOWNSHIP
Garissa,GARISSA TOWNSHIP,WABERI
Garissa,IJARA,MASALANI
Garissa,ISIOLO NORTH,WABERA
Garissa,LAGDERA,MODOGASHE
Garissa,MOYALE,MOYALE TOWNSHIP
Homa Bay,BONDO,YIMBO EAST
Homa Bay,HOMA BAY TOWN,HOMA BAY ARUJO
Homa Bay,HOMA BAY TOWN,HOMA BAY CENTRAL
Homa Bay,HOMA BAY TOWN,HOMA BAY WEST
Homa Bay,KABONDO KASIPUL,KABONDO EAST
Homa Bay,KABONDO KASIPUL,KABONDO WEST
Homa Bay,KABONDO KASIPUL,KOJWACH
Homa Bay,KAJIADO EAST,KITENGELA
Homa Bay,KAJIADO NORTH,ONGATA RONGAI
Homa Bay,KARACHUONYO,CENTRAL
Homa Bay,KARACHUONYO,KANYALUO
Homa Bay,KARACHUONYO,KENDU BAY TOWN
Homa Bay,KARACHUONYO,KIBIRI
Homa Bay,KARACHUONYO,NORTH KARACHUONYO
Homa Bay,KARACHUONYO,WANGCHIENG
Homa Bay,KARACHUONYO,WEST KARACHUONYO
Homa Bay,KASIPUL,CENTRAL KASIPUL
Homa Bay,KASIPUL,EAST KAMAGAK
Homa Bay,KASIPUL,SOUTH KASIPUL
Homa Bay,KASIPUL,WEST KAMAGAK
Homa Bay,KASIPUL,WEST KASIPUL
Homa Bay,KISUMU CENTRAL,MARKET MILIMANI
Homa Bay,KISUMU CENTRAL,NYALENDA B
Homa Bay,NDHIWA,KABUOCH NORTH
Homa Bay,NDHIWA,KABUOCH SOUTH/PALA
Homa Bay,NDHIWA,KANYAMWA KOLOGI
Homa Bay,NDHIWA,KANYAMWA KOSEWE
Homa Bay,NYARIBARI CHACHE,BOBARACHO
Homa Bay,RANGWE,EAST GEM
Homa Bay,RANGWE,KAGAN
Homa Bay,RANGWE,KOCHIA
Homa Bay,RANGWE,WEST GEM
Homa Bay,RONGO,CENTRAL KAMAGAMBO
Homa Bay,RUARAKA,MATHARE NORTH
Homa Bay,SUBA NORTH,KASGUNGA
Homa Bay,SUBA NORTH,MFANGANO ISLAND
Homa Bay,SUBA NORTH,RUSINGA ISLAND
Homa Bay,SUBA SOUTH,GWASSI SOUTH
Homa Bay,SUBA SOUTH,KAKSINGRI WEST
Isiolo,ISIOLO NORTH,BULLA PESA
Isiolo,ISIOLO NORTH,WABERA
Isiolo,ISIOLO SOUTH,GARBATULLA
Isiolo,ISIOLO SOUTH,KINNA
Isiolo,ISIOLO SOUTH,SERICHO
Kajiado,CHANGAMWE,CHAANI
Kajiado,DAGORETTI SOUTH,NGANDO
Kajiado,JUJA,JUJA
Kajiado,KAJIADO CENTRAL,DALALEKUTUK
Kajiado,KAJIADO CENTRAL,ILDAMAT
Kajiado,KAJIADO CENTRAL,MATAPATO NORTH
Kajiado,KAJIADO CENTRAL,MATAPATO SOUTH
